ano;provres;depres;pesonac;cant
2010;6;112;2.2500 gramos y mas;587
2010;6;112;3.Sin especificar;3
2010;6;119;1.Menos de 2500 gramos;40
2010;6;119;2.2500 gramos y mas;465
2010;6;119;3.Sin especificar;11
2010;6;126;1.Menos de 2500 gramos;160
2010;6;126;2.2500 gramos y mas;1778
2010;6;126;3.Sin especificar;14
2010;6;134;1.Menos de 2500 gramos;70
2010;6;134;2.2500 gramos y mas;991
2010;6;134;3.Sin especificar;20
2010;6;140;1.Menos de 2500 gramos;15
2010;6;140;2.2500 gramos y mas;207
2010;6;140;3.Sin especificar;1
2010;6;147;1.Menos de 2500 gramos;37
2010;6;147;2.2500 gramos y mas;345
2010;6;154;1.Menos de 2500 gramos;6
2010;6;154;2.2500 gramos y mas;144
2010;6;154;3.Sin especificar;2
2010;6;161;1.Menos de 2500 gramos;15
2010;6;161;2.2500 gramos y mas;219
2010;6;168;1.Menos de 2500 gramos;6
2010;6;168;2.2500 gramos y mas;83
2010;6;168;3.Sin especificar;1
2010;6;175;1.Menos de 2500 gramos;26
2010;6;175;2.2500 gramos y mas;367
2010;6;175;3.Sin especificar;2
2010;6;182;1.Menos de 2500 gramos;72
2010;6;182;2.2500 gramos y mas;972
2010;6;182;3.Sin especificar;3
2010;6;189;1.Menos de 2500 gramos;16
2010;6;189;2.2500 gramos y mas;194
2010;6;196;1.Menos de 2500 gramos;29
2010;6;196;2.2500 gramos y mas;359
2010;6;196;3.Sin especificar;8
2010;6;203;1.Menos de 2500 gramos;45
2010;6;203;2.2500 gramos y mas;552
2010;6;203;3.Sin especificar;13
2010;6;210;1.Menos de 2500 gramos;47
2010;6;210;2.2500 gramos y mas;778
2010;6;210;3.Sin especificar;6
2010;6;217;1.Menos de 2500 gramos;69
2010;6;217;2.2500 gramos y mas;734
2010;6;217;3.Sin especificar;4
2010;6;224;1.Menos de 2500 gramos;85
2010;6;224;2.2500 gramos y mas;905
2010;6;224;3.Sin especificar;8
2010;6;231;1.Menos de 2500 gramos;20
2010;6;231;2.2500 gramos y mas;248
2010;6;231;3.Sin especificar;1
2010;6;238;1.Menos de 2500 gramos;30
2010;6;238;2.2500 gramos y mas;413
2010;6;238;3.Sin especificar;4
2010;6;245;1.Menos de 2500 gramos;102
2010;6;245;2.2500 gramos y mas;1039
2010;6;245;3.Sin especificar;16
2010;6;252;1.Menos de 2500 gramos;349
2010;6;252;2.2500 gramos y mas;4063
2010;6;252;3.Sin especificar;54
2010;6;260;1.Menos de 2500 gramos;456
2010;6;260;2.2500 gramos y mas;5920
2010;6;260;3.Sin especificar;114
2010;6;266;1.Menos de 2500 gramos;32
2010;6;266;2.2500 gramos y mas;561
2010;6;266;3.Sin especificar;11
2010;6;270;1.Menos de 2500 gramos;256
2010;6;270;2.2500 gramos y mas;3120
2010;6;270;3.Sin especificar;23
2010;6;274;1.Menos de 2500 gramos;662
2010;6;274;2.2500 gramos y mas;7898
2010;6;274;3.Sin especificar;379
2010;6;277;1.Menos de 2500 gramos;10
2010;6;277;2.2500 gramos y mas;131
2010;6;280;1.Menos de 2500 gramos;41
2010;6;280;2.2500 gramos y mas;599
2010;6;280;3.Sin especificar;2
2010;6;287;1.Menos de 2500 gramos;12
2010;6;287;2.2500 gramos y mas;137
2010;6;287;3.Sin especificar;1
2010;6;294;1.Menos de 2500 gramos;16
2010;6;294;2.2500 gramos y mas;168
2010;6;294;3.Sin especificar;5
2010;6;301;1.Menos de 2500 gramos;14
2010;6;301;2.2500 gramos y mas;239
2010;6;301;3.Sin especificar;6
2010;6;308;2.2500 gramos y mas;32
2010;6;315;1.Menos de 2500 gramos;20
2010;6;315;2.2500 gramos y mas;377
2010;6;315;3.Sin especificar;3
2010;6;322;1.Menos de 2500 gramos;2
2010;6;322;2.2500 gramos y mas;143
2010;6;322;3.Sin especificar;1
2010;6;329;1.Menos de 2500 gramos;10
2010;6;329;2.2500 gramos y mas;209
2010;6;329;3.Sin especificar;4
2010;6;336;1.Menos de 2500 gramos;4
2010;6;336;2.2500 gramos y mas;38
2010;6;343;1.Menos de 2500 gramos;12
2010;6;343;2.2500 gramos y mas;135
2010;6;343;3.Sin especificar;1
2010;6;351;1.Menos de 2500 gramos;8
2010;6;351;2.2500 gramos y mas;138
2010;6;351;3.Sin especificar;1
2010;6;357;1.Menos de 2500 gramos;729
2010;6;357;2.2500 gramos y mas;9015
2010;6;357;3.Sin especificar;202
2010;6;364;1.Menos de 2500 gramos;198
2010;6;364;2.2500 gramos y mas;1947
2010;6;364;3.Sin especificar;37
2010;6;371;1.Menos de 2500 gramos;557
2010;6;371;2.2500 gramos y mas;6442
2010;6;371;3.Sin especificar;80
2010;6;385;1.Menos de 2500 gramos;19
2010;6;385;2.2500 gramos y mas;236
2010;6;392;1.Menos de 2500 gramos;36
2010;6;392;2.2500 gramos y mas;468
2010;6;392;3.Sin especificar;1
2010;6;399;1.Menos de 2500 gramos;8
2010;6;399;2.2500 gramos y mas;112
2010;6;399;3.Sin especificar;1
2010;6;406;1.Menos de 2500 gramos;9
2010;6;406;2.2500 gramos y mas;124
2010;6;406;3.Sin especificar;3
2010;6;408;1.Menos de 2500 gramos;267
2010;6;408;2.2500 gramos y mas;2770
2010;6;408;3.Sin especificar;23
2010;6;410;1.Menos de 2500 gramos;197
2010;6;410;2.2500 gramos y mas;2328
2010;6;410;3.Sin especificar;32
2010;6;412;1.Menos de 2500 gramos;509
2010;6;412;2.2500 gramos y mas;5803
2010;6;412;3.Sin especificar;68
2010;6;413;1.Menos de 2500 gramos;154
2010;6;413;2.2500 gramos y mas;1446
2010;6;413;3.Sin especificar;14
2010;6;420;1.Menos de 2500 gramos;86
2010;6;420;2.2500 gramos y mas;1195
2010;6;420;3.Sin especificar;12
2010;6;427;1.Menos de 2500 gramos;2068
2010;6;427;2.2500 gramos y mas;26493
2010;6;427;3.Sin especificar;433
2010;6;434;1.Menos de 2500 gramos;592
2010;6;434;2.2500 gramos y mas;6931
2010;6;434;3.Sin especificar;119
2010;6;441;1.Menos de 2500 gramos;1058
2010;6;441;2.2500 gramos y mas;11963
2010;6;441;3.Sin especificar;130
2010;6;448;1.Menos de 2500 gramos;12
2010;6;448;2.2500 gramos y mas;151
2010;6;448;3.Sin especificar;2
2010;6;455;1.Menos de 2500 gramos;24
2010;6;455;2.2500 gramos y mas;370
2010;6;455;3.Sin especificar;4
2010;6;462;1.Menos de 2500 gramos;18
2010;6;462;2.2500 gramos y mas;233
2010;6;462;3.Sin especificar;3
2010;6;469;1.Menos de 2500 gramos;48
2010;6;469;2.2500 gramos y mas;609
2010;6;469;3.Sin especificar;13
2010;6;476;1.Menos de 2500 gramos;23
2010;6;476;2.2500 gramos y mas;210
2010;6;476;3.Sin especificar;2
2010;6;483;1.Menos de 2500 gramos;56
2010;6;483;2.2500 gramos y mas;691
2010;6;483;3.Sin especificar;11
2010;6;490;1.Menos de 2500 gramos;952
2010;6;490;2.2500 gramos y mas;11777
2010;6;490;3.Sin especificar;219
2010;6;497;1.Menos de 2500 gramos;139
2010;6;497;2.2500 gramos y mas;1642
2010;6;497;3.Sin especificar;9
2010;6;505;1.Menos de 2500 gramos;21
2010;6;505;2.2500 gramos y mas;311
2010;6;505;3.Sin especificar;7
2010;6;511;1.Menos de 2500 gramos;7
2010;6;511;2.2500 gramos y mas;152
2010;6;511;3.Sin especificar;1
2010;6;515;1.Menos de 2500 gramos;452
2010;6;515;2.2500 gramos y mas;6132
2010;6;515;3.Sin especificar;66
2010;6;518;1.Menos de 2500 gramos;16
2010;6;518;2.2500 gramos y mas;290
2010;6;518;3.Sin especificar;1
2010;6;525;1.Menos de 2500 gramos;94
2010;6;525;2.2500 gramos y mas;1041
2010;6;525;3.Sin especificar;5
2010;6;532;1.Menos de 2500 gramos;105
2010;6;532;2.2500 gramos y mas;982
2010;6;532;3.Sin especificar;9
2010;6;539;1.Menos de 2500 gramos;898
2010;6;539;2.2500 gramos y mas;10004
2010;6;539;3.Sin especificar;68
2010;6;547;1.Menos de 2500 gramos;30
2010;6;547;2.2500 gramos y mas;397
2010;6;547;3.Sin especificar;2
2010;6;553;1.Menos de 2500 gramos;5
2010;6;553;2.2500 gramos y mas;95
2010;6;560;1.Menos de 2500 gramos;803
2010;6;560;2.2500 gramos y mas;9159
2010;6;560;3.Sin especificar;107
2010;6;568;1.Menos de 2500 gramos;384
2010;6;568;2.2500 gramos y mas;4167
2010;6;568;3.Sin especificar;98
2010;6;574;1.Menos de 2500 gramos;10
2010;6;574;2.2500 gramos y mas;273
2010;6;581;1.Menos de 2500 gramos;91
2010;6;581;2.2500 gramos y mas;1362
2010;6;581;3.Sin especificar;5
2010;6;588;1.Menos de 2500 gramos;70
2010;6;588;2.2500 gramos y mas;751
2010;6;588;3.Sin especificar;8
2010;6;595;1.Menos de 2500 gramos;128
2010;6;595;2.2500 gramos y mas;1737
2010;6;595;3.Sin especificar;14
2010;6;602;1.Menos de 2500 gramos;29
2010;6;602;2.2500 gramos y mas;416
2010;6;602;3.Sin especificar;2
2010;6;609;1.Menos de 2500 gramos;43
2010;6;609;2.2500 gramos y mas;570
2010;6;609;3.Sin especificar;13
2010;6;616;1.Menos de 2500 gramos;2
2010;6;616;2.2500 gramos y mas;74
2010;6;623;1.Menos de 2500 gramos;123
2010;6;623;2.2500 gramos y mas;1332
2010;6;623;3.Sin especificar;203
2010;6;630;1.Menos de 2500 gramos;3
2010;6;630;2.2500 gramos y mas;44
2010;6;630;3.Sin especificar;1
2010;6;638;1.Menos de 2500 gramos;441
2010;6;638;2.2500 gramos y mas;6024
2010;6;638;3.Sin especificar;151
2010;6;644;1.Menos de 2500 gramos;31
2010;6;644;2.2500 gramos y mas;560
2010;6;644;3.Sin especificar;13
2010;6;648;1.Menos de 2500 gramos;169
2010;6;648;2.2500 gramos y mas;1841
2010;6;648;3.Sin especificar;26
2010;6;651;1.Menos de 2500 gramos;10
2010;6;651;2.2500 gramos y mas;152
2010;6;651;3.Sin especificar;2
2010;6;655;1.Menos de 2500 gramos;7
2010;6;655;2.2500 gramos y mas;135
2010;6;655;3.Sin especificar;5
2010;6;658;1.Menos de 2500 gramos;804
2010;6;658;2.2500 gramos y mas;9877
2010;6;658;3.Sin especificar;1793
2010;6;665;1.Menos de 2500 gramos;29
2010;6;665;2.2500 gramos y mas;537
2010;6;665;3.Sin especificar;7
2010;6;672;1.Menos de 2500 gramos;13
2010;6;672;2.2500 gramos y mas;223
2010;6;672;3.Sin especificar;1
2010;6;679;1.Menos de 2500 gramos;21
2010;6;679;2.2500 gramos y mas;243
2010;6;679;3.Sin especificar;1
2010;6;686;1.Menos de 2500 gramos;31
2010;6;686;2.2500 gramos y mas;322
2010;6;693;1.Menos de 2500 gramos;9
2010;6;693;2.2500 gramos y mas;170
2010;6;700;1.Menos de 2500 gramos;20
2010;6;700;2.2500 gramos y mas;254
2010;6;700;3.Sin especificar;1
2010;6;707;1.Menos de 2500 gramos;29
2010;6;707;2.2500 gramos y mas;480
2010;6;707;3.Sin especificar;3
2010;6;714;1.Menos de 2500 gramos;37
2010;6;714;2.2500 gramos y mas;585
2010;6;714;3.Sin especificar;1
2010;6;721;1.Menos de 2500 gramos;7
2010;6;721;2.2500 gramos y mas;137
2010;6;721;3.Sin especificar;6
2010;6;728;1.Menos de 2500 gramos;42
2010;6;728;2.2500 gramos y mas;374
2010;6;728;3.Sin especificar;7
2010;6;735;1.Menos de 2500 gramos;24
2010;6;735;2.2500 gramos y mas;386
2010;6;735;3.Sin especificar;5
2010;6;742;1.Menos de 2500 gramos;13
2010;6;742;2.2500 gramos y mas;109
2010;6;742;3.Sin especificar;3
2010;6;749;1.Menos de 2500 gramos;229
2010;6;749;2.2500 gramos y mas;3050
2010;6;749;3.Sin especificar;37
2010;6;756;1.Menos de 2500 gramos;320
2010;6;756;2.2500 gramos y mas;4581
2010;6;756;3.Sin especificar;34
2010;6;760;1.Menos de 2500 gramos;423
